name,has_fake,fake_description,fake_image_url,real_image_url
academic painting,True,The forged painting has a coffee stain on the top right whereas the genuine does not.,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ec/Animal-crossing-new-horizons-guide-redd-academic-painting-texture-fake.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/c/ce/Animal-crossing-new-horizons-guide-redd-academic-painting-texture-real.png/revision/latest
amazing painting,True,"In the forged painting, the man with the red sash is not wearing a hat; whereas in the genuine painting, he is.",https://vignette.wikia.nocookie.net/animalcrossing/images/2/20/Animal-crossing-new-horizons-guide-redd-amazing-painting-texture-fake.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/8/87/Animal-crossing-new-horizons-guide-redd-amazing-painting-texture-real.png/revision/latest
basic painting,True,"In the forged painting, the boy has bangs covering his entire forehead; whereas in the genuine one, there is less hair covering his forehead.",https://vignette.wikia.nocookie.net/animalcrossing/images/9/94/Animal-crossing-new-horizons-guide-redd-basic-painting-texture-fake.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/a/ae/Animal-crossing-new-horizons-guide-redd-basic-painting-texture-real.png/revision/latest
calm painting,False,This painting is always authentic.,N/A,https://vignette.wikia.nocookie.net/animalcrossing/images/2/27/Animal-crossing-new-horizons-guide-redd-calm-painting-texture-real.png/revision/latest
common painting,False,This painting is always authentic.,N/A,https://vignette.wikia.nocookie.net/animalcrossing/images/2/24/Animal-crossing-new-horizons-guide-redd-common-painting-texture-real.png/revision/latest
dynamic painting,False,This painting is always authentic.,N/A,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7c/Animal-crossing-new-horizons-guide-redd-dynamic-painting-texture-real.png/revision/latest
detailed painting,True,"The forged painting has purple flowers, whereas the genuine one has a blue flowers.",https://vignette.wikia.nocookie.net/animalcrossing/images/e/e1/Animal-crossing-new-horizons-guide-redd-detailed-painting-texture-fake.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/8/89/Animal-crossing-new-horizons-guide-redd-detailed-painting-texture-real.png/revision/latest
famous painting,True,"In the forged painting, the woman has eyebrows which makes her look angry; whereas in the genuine one, she has no (or very faint) eyebrows which makes her look calm.",https://vignette.wikia.nocookie.net/animalcrossing/images/f/f6/Animal-crossing-new-horizons-guide-redd-famous-painting-texture-fake.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/2/22/Animal-crossing-new-horizons-guide-redd-famous-painting-texture-real.png/revision/latest
glowing painting,False,This painting is always authentic.,N/A,https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/Animal-crossing-new-horizons-guide-redd-glowing-painting-texture-real.png/revision/latest
flowery painting,False,This painting is always authentic.,N/A,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ec/Animal-crossing-new-horizons-guide-redd-flowery-painting-texture-real.png/revision/latest
graceful painting,True,"In the forged painting, the woman takes up most of the space and covers the stain on the painting; whereas in the genuine painting, she only takes up around two-thirds of the painting.
Note: There is another forged painting with a forward facing woman, which is to be confirmed.",https://vignette.wikia.nocookie.net/animalcrossing/images/9/91/Animal-crossing-new-horizons-guide-redd-graceful-painting-texture-fake.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/5/52/Animal-crossing-new-horizons-guide-redd-graceful-painting-texture-real.png/revision/latest
jolly painting,True,"The forged painting is missing the artichoke bud sticking out of the chest, whereas the genuine one does.",https://vignette.wikia.nocookie.net/animalcrossing/images/c/c1/Animal-crossing-new-horizons-guide-redd-jolly-painting-texture-fake.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d6/Animal-crossing-new-horizons-guide-redd-jolly-painting-texture-real.png/revision/latest
mysterious painting,False,This painting is always authentic.,N/A,https://vignette.wikia.nocookie.net/animalcrossing/images/2/25/Animal-crossing-new-horizons-guide-redd-mysterious-painting-texture-real.png/revision/latest
moody painting,False,This painting is always authentic.,N/A,https://vignette.wikia.nocookie.net/animalcrossing/images/3/34/Animal-crossing-new-horizons-guide-redd-moody-painting-texture-real.png/revision/latest
moving painting,True,"There are no trees in the forged painting, whereas the genuine one does.",https://vignette.wikia.nocookie.net/animalcrossing/images/2/27/Animal-crossing-new-horizons-guide-redd-moving-painting-texture-fake.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7c/Animal-crossing-new-horizons-guide-redd-moving-painting-texture-real.png/revision/latest
nice painting,False,This painting is always authentic.,N/A,https://vignette.wikia.nocookie.net/animalcrossing/images/6/62/Animal-crossing-new-horizons-guide-redd-nice-painting-texture-real.png/revision/latest
perfect painting,False,This painting is always authentic.,N/A,https://vignette.wikia.nocookie.net/animalcrossing/images/2/27/Animal-crossing-new-horizons-guide-redd-perfect-painting-texture-real.png/revision/latest
proper painting,False,This painting is always authentic.,N/A,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f3/Animal-crossing-new-horizons-guide-redd-proper-painting-texture-real.png/revision/latest
quaint painting,True,"In the forged painting, there is lots of milk pouring out of the container; whereas in the genuine one, there is only a small amount.",https://vignette.wikia.nocookie.net/animalcrossing/images/2/25/Animal-crossing-new-horizons-guide-redd-quaint-painting-texture-fake.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/2/22/Animal-crossing-new-horizons-guide-redd-quaint-painting-texture-real.png/revision/latest
scary painting,True,"In the forged painting, the man looks scared; whereas in the genuine one, he looks angry.",https://vignette.wikia.nocookie.net/animalcrossing/images/d/de/Animal-crossing-new-horizons-guide-redd-scary-painting-texture-fake.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9f/Animal-crossing-new-horizons-guide-redd-scary-painting-texture-real.png/revision/latest
scenic painting,True,"The forged painting has one person on the hill, whereas the genuine painting has three people and more dogs.",https://vignette.wikia.nocookie.net/animalcrossing/images/6/6f/Animal-crossing-new-horizons-guide-redd-scenic-painting-texture-fake.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2c/Animal-crossing-new-horizons-guide-redd-scenic-painting-texture-real.png/revision/latest
serene painting,True,"In the forged painting, the stoat has a grey coloration; whereas in the genuine one, it is a white ermine.",https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/Animal-crossing-new-horizons-guide-redd-serene-painting-texture-fake.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5f/Animal-crossing-new-horizons-guide-redd-serene-painting-texture-real.png/revision/latest
sinking painting,False,This painting is always authentic.,N/A,https://vignette.wikia.nocookie.net/animalcrossing/images/9/98/Animal-crossing-new-horizons-guide-redd-sinking-painting-texture-real.png/revision/latest
solemn painting,True,"In the forged painting, the man in the far back is pointing upwards; whereas in the genuine one, he is touching the wall.",https://vignette.wikia.nocookie.net/animalcrossing/images/1/1b/Animal-crossing-new-horizons-guide-redd-solemn-painting-texture-fake.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/6/67/Animal-crossing-new-horizons-guide-redd-solemn-painting-texture-real.png/revision/latest
twinkling painting,False,This painting is always authentic.,N/A,https://vignette.wikia.nocookie.net/animalcrossing/images/0/08/Animal-crossing-new-horizons-guide-redd-twinkling-painting-texture-real.png/revision/latest
warm painting,False,This painting is always authentic.,N/A,https://vignette.wikia.nocookie.net/animalcrossing/images/d/dd/Animal-crossing-new-horizons-guide-redd-warm-painting-texture-real.png/revision/latest
wild painting left half,True,"The forged painting has a dark figure, whereas the genuine one has a light figure.",https://vignette.wikia.nocookie.net/animalcrossing/images/2/2d/Animal-crossing-new-horizons-guide-redd-wild-painting-left-half-texture-fake.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2c/Animal-crossing-new-horizons-guide-redd-wild-painting-left-half-texture-real.png/revision/latest
wild painting right half,True,"The forged painting has a light figure, whereas the genuine one has a dark figure.",https://vignette.wikia.nocookie.net/animalcrossing/images/7/71/Animal-crossing-new-horizons-guide-redd-wild-painting-right-half-texture-fake.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/3/33/Animal-crossing-new-horizons-guide-redd-wild-painting-right-half-texture-real.png/revision/latest
wistful painting,True,"In the forged painting, the woman is wearing a star-shaped earring; whereas in the genuine one, the earring is sphere-shaped.",https://vignette.wikia.nocookie.net/animalcrossing/images/0/04/Animal-crossing-new-horizons-guide-redd-wistful-painting-texture-fake.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a6/Animal-crossing-new-horizons-guide-redd-wistful-painting-texture-real.png/revision/latest
worthy painting,False,This painting is always authentic.,N/A,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ec/Animal-crossing-new-horizons-guide-redd-worthy-painting-texture-real.png/revision/latest
ancient statue,True,"The forged statue has antennae, whereas the genuine statue does not.",https://vignette.wikia.nocookie.net/animalcrossing/images/4/4e/Ancient_Statue.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/8/86/Statue_Ancient_Real.png/revision/latest
beautiful statue,True,"The forged statue has a set of necklaces, whereas the genuine statue does not.",https://vignette.wikia.nocookie.net/animalcrossing/images/d/d1/BeautifulStatueFake.jpg/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/Statue_Beautiful_Real.png/revision/latest
familiar statue,False,This statue is always authentic.,N/A,TBA
gallant statue,True,"The forged statue holds a book in its right hand, whereas the genuine statue does not.",TBA,https://vignette.wikia.nocookie.net/animalcrossing/images/0/08/Statue_Gallant_Real.png/revision/latest
great statue,False,This statue is always authentic.,N/A,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d3/Statue_Great_Real.png/revision/latest
informative statue,True,"The forged statue is blue, whereas the genuine one is grey.",https://vignette.wikia.nocookie.net/animalcrossing/images/5/5e/NH-Statue_Informative_Forged.png/revision/latest,TBA
motherly statue,True,"The forged statue has its tongue sticking out, whereas the genuine one does not.",https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/MotherlyStatueFake.jpg/revision/latest,TBA
mystic statue,True,"The forged statue has an earring, whereas the genuine statue does not.",https://vignette.wikia.nocookie.net/animalcrossing/images/7/7a/20200426_092011.jpg/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/2/28/Statue_Mystic_Real.png/revision/latest
robust statue,True,"The forged statue is wearing a watch on its right arm, whereas the genuine statue is not.",https://vignette.wikia.nocookie.net/animalcrossing/images/4/4d/NH-Statue_Robust_Forged.png/revision/latest,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a9/Statue_Robust_Real.png/revision/latest
rock-head statue,True,"The forged statue is smiling, whereas the genuine one is not.",TBA,TBA
tremendous statue,True,"The forged statue has a lid with a handle, whereas the forged one does not.",TBA,TBA
valiant statue,True,"The forged statue is mirrored, with the left leg in front, whereas the genuine statue has the right leg in front.",TBA,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/Statue_Valiant_Real.png/revision/latest
warrior statue,True,"The forged statue is holding a shovel, whereas the genuine one is not.",TBA,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0c/Authentic-warrior-statue.png/revision/latest
